layer,method,proj_dim,run_dir,seed,task,test_acc,test_acc_stderr,test_f1,test_f1_stderr,test_mae,test_mcc,test_mcc_stderr,test_mse,test_spearman,test_spearman_stderr
Stacked,hybrid,48,PoolingFFN_layerStacked_hybrid_dc48_meltome_seed657_28-05_17-52-34,657,meltome,,,,,50.8486214,,,2602.423584,0.6995,0.0159
Stacked,hybrid,48,PoolingFFN_layerStacked_hybrid_dc48_meltome_seed921_29-05_08-25-50,921,meltome,,,,,50.7627068,,,2593.0759277,0.7042,0.015
Stacked,hybrid,48,PoolingFFN_layerStacked_hybrid_dc48_meltome_seed969_29-05_21-57-54,969,meltome,,,,,51.651474,,,2684.8613281,0.7138,0.0141
Stacked,mean,,PoolingFFN_layerStacked_mean_dc48_meltome_seed657_28-05_09-04-41,657,meltome,,,,,50.0617676,,,2525.8564453,0.7043,0.0157
Stacked,mean,,PoolingFFN_layerStacked_mean_dc48_meltome_seed921_28-05_23-08-05,921,meltome,,,,,49.6564369,,,2482.0895996,0.7116,0.0141
Stacked,mean,,PoolingFFN_layerStacked_mean_dc48_meltome_seed969_29-05_13-24-16,969,meltome,,,,,49.2013855,,,2437.4960938,0.7088,0.0142
,cov,16,PoolingFFN_loc_cov_dc16_seed657_20-05_05-25-55,657,loc,82.55,0.74,0.821,0.0077,,0.7894,0.0088,,,
,cov,16,PoolingFFN_loc_cov_dc16_seed921_20-05_17-05-53,921,loc,82.25,0.71,0.8184,0.0076,,0.7862,0.0084,,,
,cov,16,PoolingFFN_loc_cov_dc16_seed969_21-05_06-12-16,969,loc,81.94,0.75,0.8118,0.0079,,0.782,0.0089,,,
,cov,24,PoolingFFN_loc_cov_dc24_seed657_20-05_06-28-16,657,loc,83.15,0.76,0.8257,0.0079,,0.7965,0.0091,,,
,cov,24,PoolingFFN_loc_cov_dc24_seed921_20-05_18-04-22,921,loc,82.47,0.67,0.8192,0.0072,,0.7883,0.008,,,
,cov,24,PoolingFFN_loc_cov_dc24_seed969_21-05_07-09-42,969,loc,84.0,0.74,0.8357,0.0077,,0.807,0.0088,,,
,cov,32,PoolingFFN_loc_cov_dc32_seed657_20-05_07-17-55,657,loc,82.66,0.72,0.8228,0.0075,,0.7911,0.0087,,,
,cov,32,PoolingFFN_loc_cov_dc32_seed921_20-05_18-58-35,921,loc,82.67,0.72,0.8212,0.0077,,0.791,0.0086,,,
,cov,32,PoolingFFN_loc_cov_dc32_seed969_21-05_07-59-09,969,loc,82.49,0.74,0.8215,0.0076,,0.7895,0.0089,,,
,cov,48,PoolingFFN_loc_cov_dc48_seed657_20-05_08-23-15,657,loc,84.09,0.71,0.8364,0.0074,,0.8082,0.0085,,,
,cov,48,PoolingFFN_loc_cov_dc48_seed921_20-05_19-51-52,921,loc,83.89,0.71,0.8317,0.0076,,0.8055,0.0084,,,
,cov,48,PoolingFFN_loc_cov_dc48_seed969_21-05_09-03-52,969,loc,82.55,0.77,0.8213,0.0081,,0.7894,0.0092,,,
,cov,8,PoolingFFN_loc_cov_dc8_seed657_20-05_04-26-10,657,loc,81.64,0.77,0.8082,0.0083,,0.7781,0.0092,,,
,cov,8,PoolingFFN_loc_cov_dc8_seed921_20-05_15-55-05,921,loc,81.13,0.8,0.8047,0.0087,,0.7719,0.0095,,,
,cov,8,PoolingFFN_loc_cov_dc8_seed969_21-05_04-29-24,969,loc,81.24,0.83,0.808,0.0086,,0.7737,0.0099,,,
,hybrid,16,PoolingFFN_loc_hybrid_dc16_seed657_20-05_10-05-34,657,loc,83.11,0.73,0.8249,0.0076,,0.7961,0.0087,,,
,hybrid,16,PoolingFFN_loc_hybrid_dc16_seed921_20-05_22-00-06,921,loc,82.87,0.75,0.8241,0.0078,,0.7933,0.0089,,,
,hybrid,16,PoolingFFN_loc_hybrid_dc16_seed969_21-05_11-40-58,969,loc,82.99,0.74,0.8232,0.0078,,0.7946,0.0089,,,
,hybrid,24,PoolingFFN_loc_hybrid_dc24_seed657_20-05_11-01-44,657,loc,84.28,0.73,0.838,0.0076,,0.8104,0.0087,,,
,hybrid,24,PoolingFFN_loc_hybrid_dc24_seed921_20-05_23-26-28,921,loc,83.54,0.71,0.8295,0.0075,,0.8012,0.0084,,,
,hybrid,24,PoolingFFN_loc_hybrid_dc24_seed969_21-05_12-42-10,969,loc,83.82,0.75,0.8301,0.008,,0.8048,0.009,,,
,hybrid,32,PoolingFFN_loc_hybrid_dc32_seed657_20-05_11-59-01,657,loc,83.28,0.75,0.8286,0.0078,,0.7983,0.009,,,
,hybrid,32,PoolingFFN_loc_hybrid_dc32_seed921_21-05_00-27-07,921,loc,84.23,0.7,0.8368,0.0074,,0.8096,0.0083,,,
,hybrid,32,PoolingFFN_loc_hybrid_dc32_seed969_21-05_13-34-57,969,loc,83.78,0.77,0.8331,0.0081,,0.8044,0.0092,,,
,hybrid,48,PoolingFFN_loc_hybrid_dc48_seed657_20-05_13-26-12,657,loc,83.69,0.73,0.8327,0.0075,,0.8029,0.0087,,,
,hybrid,48,PoolingFFN_loc_hybrid_dc48_seed921_21-05_01-24-56,921,loc,83.97,0.7,0.8355,0.0073,,0.8066,0.0083,,,
,hybrid,48,PoolingFFN_loc_hybrid_dc48_seed969_21-05_14-53-28,969,loc,83.02,0.75,0.8253,0.008,,0.7953,0.009,,,
,hybrid,8,PoolingFFN_loc_hybrid_dc8_seed657_20-05_09-07-20,657,loc,83.76,0.69,0.8312,0.0073,,0.804,0.0083,,,
,hybrid,8,PoolingFFN_loc_hybrid_dc8_seed921_20-05_20-41-45,921,loc,82.35,0.68,0.8175,0.0073,,0.7867,0.0081,,,
,hybrid,8,PoolingFFN_loc_hybrid_dc8_seed969_21-05_10-20-54,969,loc,82.55,0.76,0.819,0.008,,0.7896,0.0091,,,
,mean,,PoolingFFN_loc_mean_seed657_20-05_00-17-52,657,loc,80.9,0.77,0.8036,0.0079,,0.7696,0.0092,,,
,mean,,PoolingFFN_loc_mean_seed921_20-05_14-26-36,921,loc,81.85,0.77,0.8093,0.0083,,0.7807,0.0092,,,
,mean,,PoolingFFN_loc_mean_seed969_21-05_02-28-29,969,loc,81.32,0.82,0.8072,0.0087,,0.7747,0.0097,,,
,cov,16,PoolingFFN_meltome_cov_dc16_seed657_21-05_16-35-35,657,meltome,,,,,50.212738,,,2537.5397949,0.7055,0.0155
